"","yy","mm","hhooks","alb_c","alb_n","yft_c","yft_n","bet_c","bet_n","mls_c","mls_n","blm_c","blm_n","bum_c","bum_n","swo_c","swo_n","oth_c","oth_n","total_c_ton","total_c_kg","total_n","cpue_c","cpue_n","alb_idv","yft_idv","bet_idv","mls_idv","blm_idv","bum_idv","swo_idv","oth_idv","Date"
"27",2002,3,731539.56,6493.528,415614,6947.126,250881,6640.177,183230,308.209,6330,114.438,2512,761.968,13353,1429.717,23265,593.569,61746,23288.732,23288732,956931,3183.52325334258,130.810560675625,15.6239395208054,27.6909211937134,36.2395732139933,48.690205371248,45.5565286624204,57.063431438628,61.4535568450462,9.61307615068183,"2002-03"
"28",2002,4,681107.9,8097.486,555379,6700.109,248024,7400.775,219005,295.388,6292,111.285,2330,930.354,16154,1272.822,21464,864.839,59031,25673.058,25673058,1127679,3769.30850457027,165.565397200649,14.5801083584363,27.0139542947457,33.7927216273601,46.9465988556898,47.7618025751073,57.5927943543395,59.3003168095416,14.6505903677729,"2002-04"
"29",2002,5,878459.98,9367.845,609742,8063.077,282526,8261.81,232184,473.794,9876,138.679,2762,1199.132,20263,1549.326,23730,1150.675,74690,30204.338,30204338,1255773,3438.32828901323,142.951645901957,15.3636210069177,28.5392388665114,35.5830289770182,47.9742810854597,50.2096307023896,59.1784039875635,65.2897597977244,15.4060115142589,"2002-05"
"30",2002,6,1150710.8,10257.187,686050,9000.888,340911,7782.602,233503,264.818,5179,119.246,2718,962.66,16814,988.64,16451,828.622,73720,30204.663,30204663,1375346,2624.87003685027,119.521429711097,14.9510779097733,26.4024569462411,33.3297730650142,51.1330372658814,43.8727005150846,57.2534792434876,60.0960427937511,11.2401247965274,"2002-06"
"31",2002,7,856578.92,9078.221,652028,8847.722,362049,9276.718,266142,315.086,5989,162.24,3911,857.704,15819,1121.25,19351,953.34,73855,30612.281,30612281,1399144,3573.78407117467,163.34093302226,13.9230539179299,24.4379131001605,34.8562722155842,52.61078644181,41.4829966760419,54.2198621910361,57.9427419771588,12.9082661972785,"2002-07"
"32",2002,8,949088.03,7250.408,505652,8196.876,290179,8840.744,248573,277.71,5696,176.376,4728,995.957,19403,1061.233,19653,1022.049,88325,27821.353,27821353,1182209,2931.37750351777,124.562628821691,14.3387309849462,28.247654034234,35.5659866518085,48.7552668539326,37.3045685279188,51.3300520538061,53.9985243983107,11.5714576846872,"2002-08"
"33",2002,9,813337.83,4052.17,277844,7924.974,322522,8752.785,246270,317.24,6556,149.614,3421,764.788,15262,1077.039,20182,1221.413,84419,24260.023,24260023,976476,2982.77322229067,120.057860827646,14.5843350945135,24.5718865689782,35.5414179559021,48.3892617449664,43.7339959076293,50.1106014939064,53.366316519671,14.4684608915055,"2002-09"
"34",2002,10,792492.18,4514.504,296854,8007.225,282564,8376.843,237679,323.38,7029,134.426,3354,804.626,16211,1173.89,20959,817.279,74389,24152.173,24152173,939039,3047.62288001378,118.491894771757,15.2078260693809,28.3377394147874,35.2443547810282,46.0065443164035,40.0793082886106,49.6345691197335,56.0088744692018,10.9865571522671,"2002-10"
"35",2002,11,851315.33,5284.617,347426,7404.871,260989,8711.048,251443,320.555,6829,109.24,2790,901.661,19082,1242.441,22560,882.892,89181,24857.325,24857325,1000300,2919.87282785099,117.500527096111,15.2107700632653,28.3723490262042,34.6442255302395,46.9402547957241,39.1541218637993,47.2519127974007,55.0727393617021,9.90000112131508,"2002-11"
"36",2002,12,705067.07,5512.696,367426,7422.504,251686,7246.522,215454,232.634,5633,112.959,2668,863.791,17870,1289.78,20017,741.618,78690,23422.504,23422504,959444,3322.02495288852,136.07840173276,15.003554457224,29.4911278338883,33.6337315621896,41.2984200248535,42.3384557721139,48.3374930050364,64.4342309037318,9.42455203964925,"2002-12"
"37",2003,1,725566.18,7435.193,492212,8888.701,326784,8657.451,266113,347.001,9349,79.772,1976,1307.463,25376,1317.083,22365,863.572,102350,28896.236,28896236,1246525,3982.57757824379,171.800317374219,15.1056719462345,27.2005391940854,32.5329878660569,37.1163760830035,40.3704453441296,51.5236049810845,58.8903644086743,8.43744015632633,"2003-01"
"38",2003,2,729118.61,6846.398,425892,7874.888,320095,7806.275,236754,416.92,10103,98.21,2318,1354.857,26255,1441.731,23592,767.836,94694,26607.115,26607115,1139703,3649.2162777192,156.312427685805,16.0754322692138,24.6017213639701,32.9720933965213,41.2669504107691,42.3684210526316,51.6037707103409,61.111012207528,8.1086024457727,"2003-02"
"39",2003,3,764785.19,6563.503,421422,7924.971,339515,7527.246,225750,368.478,10218,110.227,2633,1290.62,25384,1318.727,22707,1001.343,101444,26105.115,26105115,1149073,3413.39180482823,150.247810107306,15.5746567573596,23.3420349616365,33.3432823920266,36.0616559013506,41.8636536270414,50.8438386385125,58.0757916061127,9.8708942865029,"2003-03"
"40",2003,4,688389.41,5873.694,380767,7477.251,304077,6330.07,192258,354.692,8424,116.769,2700,1248.124,23496,1161.028,19868,1089.737,75613,23651.365,23651365,1007203,3435.75375455006,146.312971316627,15.4259534045755,24.5899920086031,32.9248717868697,42.1049382716049,43.2477777777778,53.1207013959823,58.4370847594121,14.4120323224842,"2003-04"
"41",2003,5,958051.86,7339.274,489564,9244.519,379058,6762.34,212749,352.007,7579,111.452,2507,1567.481,28734,974.979,17549,1587.563,112421,27939.615,27939615,1250161,2916.29463565782,130.489908970063,14.991449534688,24.3881384906795,31.7855313068452,46.4450455205172,44.4563222975668,54.5514373216399,55.5575246452789,14.1215876037395,"2003-05"
"42",2003,6,837440.23,7188.883,484530,9275.801,376809,5412.382,174847,411.524,7951,126.694,2635,1411.231,25468,957.86,16122,1173.792,104546,25958.167,25958167,1192908,3099.70384393881,142.44694215371,14.8368171217468,24.6167182843297,30.9549606227159,51.7575147780153,48.0812144212524,55.4119286948327,59.4132241657363,11.227517073824,"2003-06"
"43",2003,7,974762.61,7133.425,508069,8096.676,318385,7437.18,215760,377.288,6842,112.063,2297,1327.388,23328,1043.049,19234,1102.56,95130,26629.629,26629629,1189045,2731.90915683563,121.98303338697,14.0402681525541,25.4304568368485,34.4696885428254,55.1429406606255,48.7866782760122,56.9010631001372,54.2294374545076,11.5900346893724,"2003-07"
"44",2003,8,869766.37,6875.029,491684,6965.455,262054,6878.573,195314,481.478,8878,123.616,2432,1093.731,19132,1050.716,19693,1020.761,91925,24489.359,24489359,1091112,2815.62495914851,125.448860479625,13.9826168840149,26.5802277393209,35.2180232855812,54.2327100698355,50.8289473684211,57.1676249215973,53.3547961204489,11.1042806635844,"2003-08"
"45",2003,9,766559.3,4037.252,265377,6178.208,238273,6226.952,177037,420.974,8471,90.962,2017,869.505,14564,867.763,16765,810.673,84044,19502.289,19502289,806548,2544.13311533759,105.216647948828,15.2132701778979,25.9291149227986,35.1731671910392,49.6959036713493,45.0976698066435,59.7023482559736,51.7603936773039,9.64581647708343,"2003-09"
"46",2003,10,798756.89,4369.127,276777,6126.988,267960,6004.615,183896,423.668,9681,86.276,1950,870.639,14454,1049.889,20970,707.457,74643,19638.659,19638659,850331,2458.65284492256,106.456796885971,15.7857300281454,22.8653082549634,32.6522327837473,43.762834417932,44.2441025641026,60.2351598173516,50.0662374821173,9.47787468349343,"2003-10"
"47",2003,11,791857.57,6044.092,400334,5773.071,217163,6893.838,212182,428.44,10658,95.791,2061,790.858,14353,1051.219,20237,817.989,79598,21895.298,21895298,956586,2765.05508433796,120.802785278671,15.0976234843905,26.5840451642315,32.4902112337522,40.1989116156877,46.4779233381853,55.1005364732112,51.9453970450166,10.2765019221588,"2003-11"
"48",2003,12,728718.54,6706.919,445033,5062.058,183006,5899.631,181428,336.983,10036,102.745,2291,725.913,13018,1120.789,18183,749.578,71085,20704.616,20704616,924080,2841.23634345848,126.808904848229,15.0706104940533,27.6606122203644,32.5177535992239,33.5774212833798,44.8472282845919,55.7622522660931,61.6393884397514,10.5448125483576,"2003-12"
"49",2004,1,897384.94,7447.818,485701,6111.67,210841,6418.916,205231,446.931,11606,158.402,3029,1818.74,30257,2059.341,32961,598.572,59249,25060.39,25060390,1038875,2792.60202427734,115.766930521477,15.3341623756179,28.9871040262568,31.2765420428688,38.5086162329829,52.2951469131727,60.1097266748191,62.4781104942204,10.1026515215447,"2004-01"
"50",2004,2,759361.79,6127.793,390752,6114.207,218009,6780.224,210163,356.903,8694,158.127,3001,1542.612,25115,1695.813,27584,477.85,51057,23253.529,23253529,934375,3062.24638982691,123.047408008243,15.6820515314061,28.0456632524345,32.2617396972826,41.0516448125144,52.6914361879374,61.4219390802309,61.4781395011601,9.35914761932742,"2004-02"
"51",2004,3,772304.53,4583.987,295023,6865.506,252797,7276.045,221243,406.608,9136,124.197,2620,1739.429,28579,1812.535,31949,668.022,72370,23476.329,23476329,913717,3039.77616187231,118.310454556054,15.5377275670032,27.1581783011665,32.8871195924843,44.5061295971979,47.4034351145038,60.8638860701914,56.7321355910983,9.23064805858781,"2004-03"
"52",2004,4,766435.35,5821.648,420144,6695.553,248771,6421.256,191657,364.795,8025,128.238,2703,1887.381,31329,1757.439,32470,1246.151,96641,24322.461,24322461,1031740,3173.45239882268,134.615398415535,13.8563159297765,26.9145237989959,33.5038949790511,45.4573208722741,47.4428412874584,60.243895432347,54.1250076994148,12.8946409908838,"2004-04"
"53",2004,5,906323.95,6175.701,484697,6776.021,249473,8012.674,315837,385.192,7764,121.959,2545,1791.677,30004,1527.407,29995,2882.372,122915,27673.003,27673003,1243230,3053.32359362235,137.172806698973,12.7413641924749,27.1613401049412,25.3696495344117,49.6125708397733,47.921021611002,59.7146047193707,50.9220536756126,23.4501240694789,"2004-05"
"54",2004,6,903062.5,8015.728,571110,9097.339,357990,8684.317,279495,255.342,5478,111.986,2385,1569.766,26577,1456.079,26904,2177.77,131369,31368.327,31368327,1401308,3473.54994809329,155.172870094816,14.0353487069041,25.4122712924942,31.0714574500438,46.6122672508215,46.9542976939203,59.0648304925311,54.1212830805828,16.5775030638887,"2004-06"
"55",2004,7,949773.6,9260.119,646888,12367.845,510387,8781.527,292924,265.787,5524,169.737,3446,1789.039,29979,1332.084,25233,1361.663,131436,35327.801,35327801,1645817,3719.60233470377,173.285191334019,14.3148721262413,24.2322884399485,29.9788579972962,48.1149529326575,49.2562391178178,59.676406818106,52.7913446676971,10.3598937886119,"2004-07"
"56",2004,8,955726.9,8904.406,645023,11904.836,467857,9423.041,318793,345.391,7404,145.687,2966,1805.774,31800,1333.07,25002,1113.088,138621,34975.293,34975293,1637466,3659.54887321891,171.331998712184,13.8047883563842,25.4454587619721,29.5584940698196,46.64924365208,49.1190155091032,56.7853459119497,53.3185345172386,8.02972132649454,"2004-08"
"57",2004,9,849605.4,4612.944,321023,10041.978,384684,8961.659,298198,350.537,7367,120.874,2594,1806.866,32838,1434.253,26288,1037.088,96623,28366.199,28366199,1169615,3338.74984787055,137.665673970528,14.369512464839,26.1044857597405,30.0527132978759,47.5820551106285,46.597532767926,55.0236311590231,54.5592285453439,10.7333450627697,"2004-09"
"58",2004,10,897624.94,4507.851,281876,8858.392,321500,9134.609,296466,389.419,8682,371.565,6065,1803.667,33567,1517.764,29892,757.468,78016,27340.735,27340735,1056064,3045.89743239532,117.650919993377,15.9923193177142,27.5533188180404,30.8116579978817,44.8536051601014,61.2638087386645,53.7333392915661,50.7749230563361,9.70913658736669,"2004-10"
"59",2004,11,878112.26,7174.637,452860,7636.677,272125,8600.172,276530,471.048,10028,380.428,7650,1828.822,33208,1759.881,33283,947.526,95805,28799.191,28799191,1181489,3279.67075644747,134.548742093636,15.8429470476527,28.0631217271475,31.100321845731,46.9732748304747,49.7291503267974,55.0717297036859,52.8762731724905,9.89015187098794,"2004-11"
"60",2004,12,780856.48,7600.617,495561,7274.126,253026,7828.451,246680,277.219,6249,134.117,2925,1683.531,29951,1703.196,28608,797.128,75481,27298.385,27298385,1138481,3495.95421171378,145.799007776692,15.3373994321587,28.7485317714385,31.7352480946976,44.3621379420707,45.8519658119658,56.2095088644787,59.5356543624161,10.5606444005776,"2004-12"
"61",2005,1,768077.15,5939.709,380472,6834.945,233482,8792.038,254857,302.498,7107,158.86,3010,2321.191,41513,1696.402,28560,844.966,77746,26890.609,26890609,1026747,3501.02968171882,133.67758694553,15.6114221283038,29.2739697278591,34.4979262880753,42.5633882088082,52.7774086378738,55.9147977741912,59.3978291316527,10.8682890438093,"2005-01"
"62",2005,2,671848.66,6224.744,390338,5699.236,197846,7525.252,212884,316.219,7785,143.902,2632,1717.76,29447,1761.375,29288,673.599,68027,24062.087,24062087,938247,3581.4742861882,139.65153997628,15.9470612648525,28.8064251993975,35.3490727344469,40.6190109184329,54.6740121580547,58.3339559208069,60.1398183556405,9.90193599600159,"2005-02"
"63",2005,3,630387.38,5371.847,343980,5819.763,193629,6166.669,164455,289.502,6453,99.188,1935,1776.885,30301,2008.618,35583,671.608,55879,22204.08,22204080,832215,3522.29132505794,132.016443603297,15.6167422524565,30.0562570689308,37.4976072481834,44.8631644196498,51.2599483204134,58.6411339559751,56.4488098249164,12.0189695592262,"2005-03"
